title,date,L,E,M,C,B,A,i+,i,i-
"Äidinkieli ja kirjallisuus, ruotsi",Kevät 2021,93,76,63,50,38,30,27,24,20
"Äidinkieli ja kirjallisuus, pohjoissaame",Kevät 2021,55,50,40,30,20,10,8,5,4
Suomi toisena kielenä,Kevät 2021,194,177,161,145,126,105,101,95,79
Ruotsi toisena kielenä,Kevät 2021,194,177,161,145,126,105,101,95,79
"Ruotsi, pitkä oppimäärä",Kevät 2021,258,225,194,162,130,105,85,75,60
"Ruotsi, keskipitkä oppimäärä",Kevät 2021,254,221,187,152,118,94,85,75,66
"Suomi, pitkä oppimäärä",Kevät 2021,275,260,242,219,182,142,116,106,96
"Suomi, keskipitkä oppimäärä",Kevät 2021,269,248,219,184,143,111,99,89,79
"Englanti, pitkä oppimäärä",Kevät 2021,264,244,225,199,167,138,132,124,113
"Saksa, pitkä oppimäärä",Kevät 2021,274,231,197,153,128,114,106,95,85
"Ranska, pitkä oppimäärä",Kevät 2021,271,240,217,193,142,117,110,95,80
"Venäjä, pitkä oppimäärä",Kevät 2021,268,235,210,180,147,120,110,100,90
"Espanja, pitkä oppimäärä",Kevät 2021,275,251,210,170,140,120,110,97,90
"Saksa, lyhyt oppimäärä",Kevät 2021,273,241,209,172,138,112,104,94,85
"Englanti, lyhyt oppimäärä",Kevät 2021,265,242,221,190,156,127,122,117,110
"Ranska, lyhyt oppimäärä",Kevät 2021,260,224,188,150,130,115,88,79,75
"Venäjä, lyhyt oppimäärä",Kevät 2021,263,230,202,169,142,111,100,90,70
"Espanja, lyhyt oppimäärä",Kevät 2021,274,250,222,185,151,116,109,101,90
"Italia, lyhyt oppimäärä",Kevät 2021,271,250,233,200,170,120,110,90,70
"Latina, laajempi oppimäärä",Kevät 2021,195,180,160,140,120,100,85,70,50
"Latina, lyhyt oppimäärä",Kevät 2021,195,180,160,140,120,100,85,70,50
"Pohjoissaame, lyhyt oppimäärä",Kevät 2021,195,181,166,140,120,100,90,80,70
Inarinsaame lyhyt oppimäärä,Kevät 2021,195,181,166,140,120,100,90,80,70
"Portugali, lyhyt oppimäärä",Kevät 2021,190,172,156,140,120,100,90,80,70
"Matematiikka, pitkä oppimäärä",Kevät 2021,82,57,41,30,20,14,13,11,8
"Matematiikka, lyhyt oppimäärä",Kevät 2021,105,89,71,54,36,23,21,18,14
"Uskonto, evankelis-luterilainen",Kevät 2021,98,84,68,54,40,28,26,23,19
"Uskonto, ortodoksinen",Kevät 2021,98,84,68,54,40,28,26,23,19
Elämänkatsomustieto,Kevät 2021,95,75,60,46,33,24,22,20,18
Filosofia,Kevät 2021,82,65,52,37,26,17,15,12,9
Psykologia,Kevät 2021,98,82,67,49,34,22,20,17,13
Historia,Kevät 2021,95,77,64,49,35,23,21,18,15
